source_order,organization,source_group,source_name,app_package,author_display,review_date,edited,text,text_truncated,source_url
1,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Алина,2026-09-12,true,"Отличное приложение. Продукты беру в основном только там. Постоянные бонусы и скидки очень радуют. Клиентоориентированность компании на 5+! Так держать 👍👍👍",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
2,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Зулхумор,2026-09-11,false,"Хороших продукти",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
3,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Александр,2026-09-11,true,"Цена в поиске одна, при добавлении в корзину - другая (выше)",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
4,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Инал,2026-09-11,false,"Не открывается приложение (((( ",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
5,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Илья,2026-09-10,true,"Дрянь. Пропали коды скидочной карты, вылезла карта города. Все тупит. Зачем сломали?",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
6,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Сергей,2026-09-10,true,"Как дурак на кассе стоял и искал карту лояльности после обновления программы. Не нашел. Пришлось открывать приложение пятерочки. Спасибо, что цените моё время",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
7,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Юлия,2026-09-10,true,"Пропала карта лояльности, хотя я авторизована",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
8,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Евгения,2026-09-09,true,"Оставить текстовый отзыв на купленные продукты нельзя - только звездочки поставить. Если продукты остались в корзине и их раскупили - удалить их из корзины по одному нельзя - только очистить всю корзину. Электронную карту Апельсин - невозможно выпустить, не работает. Разве что сотрудник банка должен привести пластиковую. Каких-то продуктов может не быть на момент заказа, и продукта, который выбираешь на замену ему - тоже. Поддержка - только чатбот. Пользоваться приложением можно - но н",true,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
9,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Аталия,2026-09-08,true,"Уже 5й день не могу сделать заказ- нет подключения к интернету! Хотя он есть ,впн не включен , удаляю приложение",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
10,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Удаленный пользователь,2026-09-04,false,"Не был сегодня",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
11,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Сергей,2026-09-04,true,"Постоянно привозят то просрочку, то испорченное, то вообще забывают положить товар. Деньги за доставку товара не возвращают. Цены выше чем в других магазинах. Не советую ходить в перекресток, а так же заказывать у них товары.",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
12,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Евгений,2026-09-04,true,"При оплате баллами цену на товары берут без скидок и акций. А т. к. цены высокие, это делает бессмысленным накопление баллов. Много лет уже так, недавно перепроверил, всë по прежнему.",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
13,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Анна,2026-09-03,false,"Не работает выбор интервала для доставки, не могу оформить заказ",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
14,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Александр,2026-09-02,true,"Казалось бы огромная сеть, магазины толковые. Но, видимо, весело все поставками. Потому что хочу сварить суп, а на доставку нет НИ-Х.... Поддержка, как всегда, \"на высоте\", неоднократно просто из диалога выходила за последние месяцы.",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
15,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Ольга Васильевна,2026-09-01,true,"Моя выгода, моя благотворительность, что попало в моём профиле, а списка купленных товаров так и нет",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
16,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Александр,2026-09-01,true,"Приложение не работает",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
17,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Кристина,2026-09-01,true,"Приложение не работает",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
18,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Тимур,2026-09-01,true,"Конченое приложение. Не работает, постоянно ошибки. Уже час заказ сделать не могу",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
19,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Семён,2026-09-01,true,"1 сентября не зайти в приложение. Внутри пусто, пишет магазин не подалючен к ассортименту)",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
20,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Анастасия,2026-09-01,true,"Верните возможность писать и читать отзывы! Честность была буквально вашей единственной фишкой.",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
21,Перекрёсток,review_service,RuStore,ru.perekrestok.app,Ирина,2026-09-01,true,"Не проходит авторизация",false,https://www.rustore.ru/catalog/app/ru.perekrestok.app/reviews
