record_id,organization,source_group,source_name,source_scope,business_id,store_label,external_id,review_date,author_anon,rating,text,owner_reply,source_url
PXR-0001,Перекрёсток,review_service,Yandex Maps,store card,1016216449,"Москва, Старокачаловская ул., 1Б",PpmgoIRpiT5FdmJBEvGmYRmQ0-LmQ8w,2025-09-01,A-fb60eda1d763,3,"Огромная просьба выгонять детей, которые сидят в зоне, где можно поесть, и заряжают свои телефоны, занимая чистые места !!! На других местах не убрано!","Здравствуйте. Спасибо за обратную связь! Мы хотим провести проверку. Напишите нам, пожалуйста, в личные сообщения группы ВКонтакте https://vk.com/perekrestok_shop или в Одноклассниках https://ok.ru/perekrestok.shop ✍️ Обязательно во всём разберёмся.",https://yandex.ru/maps/org/1016216449/reviews
PXR-0002,Перекрёсток,review_service,Yandex Maps,store card,1011746989,"Санкт-Петербург, ул. Ефимова, 2",iOCByD1higBErHNfD1CNt8a-HQVrFmZe_,2025-09-01,A-6399e94df3e5,1,"Магазин пробил дно!!! Установили кассы самообслуживания в полной комплектации что бы максимально приучать людей к цифровым рублям !!! 01.08.25 убрали кассиров с рабочих мест … типа будут, но не понятно когда . !!! Информационного стенда с книгой отзывов и предложений нет В отделе самообслуживания администратор вообще не знает что это такое ! Очень надеюсь , что проверяющие органы будут постоянными клиентами Вообще очень хочется оставить заявку в Роспотребнадзор! Днище ….🔥 !!!! Ещё кассовые чеки не дают , видимо на усмотрение , так сказать по желанию ! Напоминаю, что проблем с бумагой нет !!!","Здравствуйте. Расстроены, что вам пришлось столкнуться с подобным в нашем супермаркете. Хотим запросить подробности и разобраться в ситуации. Пожалуйста, напишите нам в личные сообщения группы ВКонтакте https://vk.com/perekrestok_shop или в Одноклассниках https://ok.ru/perekrestok.shop.",https://yandex.ru/maps/org/1011746989/reviews
PXR-0003,Перекрёсток,review_service,Yandex Maps,store card,107753056573,"Москва, Можайское ш., 31, корп. 1",3civQj3pIAWiA1IHZ0ypenc736zazl5l,2025-09-03,A-2e0df342adf5,1,Воняет .как в морге Не понимаю почему такое допускают и сами работники и проверяющие организации. Ну все ж понимают.что это плохо и такого быть просто не должно.,"Здравствуйте, Елена. Спасибо, что сообщили нам. Хотели бы запросить подробности и разобраться. Пожалуйста, напишите нам в личные сообщения группы ВКонтакте https://vk.com/perekrestok_shop или в Одноклассниках https://ok.ru/perekrestok.shop 🙏",https://yandex.ru/maps/org/107753056573/reviews
PXR-0004,Перекрёсток,review_service,Yandex Maps,store card,150402629053,"Москва, ул. Грина, 7",i2_m7K-fRS9H08W46m7MlU24W6obrNIaJ,2025-09-03,A-1dbcf85d487e,3,"Хлебный отдел: выбор скудный, если прийти поздно.","Здравствуйте, Владимир. Мы постоянно пополняем ассортимент в соответствии с потребностями наших покупателей. К сожалению, иногда могут возникать задержки, что приводит к временному отсутствию некоторых товаров 😔 Мы стараемся максимально оперативно реагировать на изменения спроса и обеспечивать покупателей нужными продуктами. Если у вас есть замечания или пожелания, пожалуйста, напишите нам в личные сообщения группы ВКонтакте https://vk.com/perekrestok_shop или в Одноклассниках https://ok.ru/perekrestok.shop ✍️",https://yandex.ru/maps/org/150402629053/reviews
PXR-0005,Перекрёсток,review_service,Yandex Maps,store card,1016216449,"Москва, Старокачаловская ул., 1Б",zjnhQT7EON0H_nMB4eTpEiSPWhqqoT,2025-09-03,A-5ec5e3926427,1,Качество товаров,"Здравствуйте. Спасибо за отзыв. Хотели бы запросить подробности и разобраться. Пожалуйста, напишите нам в личные сообщения группы ВКонтакте https://vk.com/perekrestok_shop или в Одноклассниках https://ok.ru/perekrestok.shop ✍️",https://yandex.ru/maps/org/1016216449/reviews
PXR-0006,Перекрёсток,review_service,Yandex Maps,store card,241557372236,"Видное, Берёзовая ул., 8",qu3Yyx1QTBuStS5JwLBwWnidLP9eJIIX,2025-09-04,A-53d11def2726,5,"Хочу поблагодарить сотрудников, помогающих оплачивать покупки в терминалах самообслуживания. Я делаю 15 тыс шагов утром до работы с 6 до 8 и прихожу в Перекресток за покупками около 7 утра. И девушка в такую рань объясняла мне, как найти штрих-код квадратный на молочке, сырах и напитках. Я не знала, что нужно сканировать какой-то второй квадратный штрих-код. И ещё обьяснила, какая у меня скидка по карте (оказалась 120₽ скидка, заплатила за сыры 500₽). Спасибо сотрудникам, что терпеливо все объясняют и помогают. 🙏❤",Спасибо за отзыв и высокую оценку! Для нас это важно.,https://yandex.ru/maps/org/241557372236/reviews
PXR-0007,Перекрёсток,review_service,Yandex Maps,store card,1033549331,"Москва, ул. Покрышкина, 5",yyuLefu3foscWbaBXReFOOl3TQhA0g,2025-09-04,A-57799a54aa2b,1,"Время 10:10 , работает одна касса на которой 3 человека стоят с тележками , на соседней кассе сидит женщина в телефоне , подхожу спросить работает ли касса , она смотря в телефон говорит нет , отхожу на соседнюю кассу чтобы очередь еще больше не стала , только отошел и она открывает кассу , бейджика нету , поэтому не знаю как зовут , сделайте что нибудь с сотрудником","Здравствуйте. Спасибо, что сообщили нам. Хотели бы запросить подробности и разобраться. Пожалуйста, напишите нам в личные сообщения группы ВКонтакте https://vk.com/perekrestok_shop или в Одноклассниках https://ok.ru/perekrestok.shop 🍀",https://yandex.ru/maps/org/1033549331/reviews
PXR-0008,Перекрёсток,review_service,Yandex Maps,store card,1011746989,"Санкт-Петербург, ул. Ефимова, 2",P-rpkEaP0Rk90IqF1SgAvQPWQBUTxUca,2025-09-05,A-f4fa9e93ac61,1,"Так плохо что даже лень было отзыв писать. Плохо пахнет, грязновато, грубый персонал. Я удивлен, так как Перекресток в других регионах работает хорошо и обычно таких проблем я не встречал. В Волгоградских перекрестках всегда чисто, приятно пахнет и вежливый персонал.","Здравствуйте, Павел. Огорчены, что у вас сложилось такое впечатление о нашем супермаркете. Хотим запросить подробности и разобраться в ситуации. Напишите нам, пожалуйста, в личные сообщения группы ВКонтакте https://vk.com/perekrestok_shop или в Одноклассниках https://ok.ru/perekrestok.shop ✍️",https://yandex.ru/maps/org/1011746989/reviews
PXR-0009,Перекрёсток,review_service,Yandex Maps,store card,1033549331,"Москва, ул. Покрышкина, 5",8uQPmgeLgh99RN1mWcwblLF5XcaS3e2,2025-09-06,A-1391728f7e29,5,"все перечисленное есть магазин огромный и дико популярный, но отвратительно видеть пожирающих продукты и пьющих напитки из трубочек из-за пазух жуликов.Охрану надо брать побдительней на работу, больше камер поедатели -это не бедняки, а наглецы и воры",Благодарим за отзыв! Стараемся для вас.,https://yandex.ru/maps/org/1033549331/reviews
PXR-0010,Перекрёсток,review_service,Yandex Maps,store card,108942729577,"Кисловодск, просп. Победы, 6",Fk-FXekoftNvKnyGFEY3q4nKn1jaoWQMd,2025-09-06,A-4aa6db7d2af8,5,Хороший магазин для покупок продуктов в дорогу,Спасибо за выбор нашей сети и такой чудесный отзыв!,https://yandex.ru/maps/org/108942729577/reviews
